"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","243","","Update (PUT/PATCH) Operations","","org.example.api.tests.UserCrudTest$UpdateOperations","shouldPartiallyUpdateUserViaPatch","PATCH /users/{id} - Partially update user email","Verifies partial update of user fields via PATCH request."
"passed","Sun Sep 06 15:55:52 UTC 2026","Sun Sep 06 15:55:52 UTC 2026","114","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldInsertNewProductAndVerifyRecord","Insert New Product and Verify Query Persistence",""
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:57 UTC 2026","3470","","org.example.ui.tests.CartUiTest","","org.example.ui.tests.CartUiTest","testContinueShoppingFromCart","Clicking 'Continue Shopping' returns from cart to catalog","Verify that clicking the Continue Shopping button in cart navigates back to inventory."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","240","","Delete (DELETE) Operations","","org.example.api.tests.ProductCrudTest$DeleteOperations","shouldDeleteProductByIdSuccessfully","DELETE /products/{id} - Successfully delete product","Verifies that a product can be deleted and response indicates deletion with timestamp."
"passed","Sun Sep 06 15:55:58 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","3153","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testProductCatalogDisplay","Product catalog displays all available items correctly","Verify that the inventory page displays all 6 default products with name, price, and Add to cart buttons."
"passed","Sun Sep 06 15:55:38 UTC 2026","Sun Sep 06 15:55:52 UTC 2026","14119","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldQueryUserOrdersAndVerifyTotals","Query User Orders and Verify Aggregate Calculations",""
"passed","Sun Sep 06 15:55:52 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","140","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldUpdateUserStatusSuccessfully","Update User Status and Verify Change in Database",""
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:55 UTC 2026","2531","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testInvalidCredentialsLogin","Login attempt with invalid credentials displays error message Login with invalid username: ""standard_user"", password: ""wrong_pass""","Verify that entering invalid credentials shows the appropriate mismatch error message."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","166","","Update (PUT/PATCH) Operations","","org.example.api.tests.ProductCrudTest$UpdateOperations","shouldPartiallyUpdateProductViaPatch","PATCH /products/{id} - Partially update product title","Verifies partial update of a product attribute via PATCH request."
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:04 UTC 2026","2918","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testNavigateToProductDetailsAndBack","Navigate to product details page and return back to catalog","Verify that clicking on product title opens the detailed product view, and Back to products returns to catalog."
